Book,Chapter,Chapter Title,Scene,Scene Title,Start Date,Day,Duration,What happens,Characters,Milestone,Note,POV,Central theme,Motifs,Mood,Weather,Setting,Keywords,Tension,Purpose,Chapter theme,Arc theme,Book theme
Book 1,1,Things set in motion,Scene 1,The gift,"Friday, July 29, 2016 (est.)",Friday,1 day,"Leo pressures his friend Ian Hagen into taking on Jay Hall as an assistant, reopening the wound of Ian's betrayal by the corporate spy Sam Connelly. Ian reluctantly agrees that Jay will start ""Monday morning.""","Ian, Jay, Leo, Sam",,"No explicit date in text; ""the following Monday"" places this the prior week (the ""couple of days before"" the start).",,,,,,,,,,,,
Book 1,1,Things set in motion,Scene 2,Arrival,"Monday, August 1, 2016",Monday,1 day,"Jay arrives early at Northlight Financial Center for his first day and is welcomed by Leo, who shows him to the desk outside Ian's office. Jay is privately relieved to have landed under a boss famously immune to office romance.","Ian, Jay, Leo",Jay's first day at Turner & Associates,,,,,,,,,,,,,
Book 1,1,Things set in motion,Scene 3,Introduction,"Monday, August 1, 2016",Monday,same day,"Ian emerges, sizes Jay up with suspicion, and introduces him to the team (Amy, Luc, Ela, Zoe, Kim). Jay's earnest competence reads to Ian as exactly what a skilled manipulator would project.","Ian, Jay, Amy, Ela, Luc, Kim, Zoe",,,,,,,,,,,,,,
Book 1,1,Things set in motion,Scene 4,Settling in,"Tuesday, August 2, 2016",Tuesday–Wednesday,2 days,Over the next two mornings Jay learns the espresso machine from Luc and receives the leather messenger bag — handed over openly by Leo at the office. Ian works the early Tokyo-deal calls and keeps watching Jay through the glass.,"Ian, Jay, Leo, Luc",,,,,,,,,,,,,,
Book 1,1,Things set in motion,Scene 5,Signals,"Friday, August 5, 2016",Friday,end of week 1,"By Friday Jay has finished a strong first week of progressively harder tasks, delighted by the respectful, hands-off environment. Ian reads Jay's obvious happiness as the same slow-build charm Sam once used, and resolves to stay guarded.","Ian, Jay, Sam",,,,,,,,,,,,,,
Book 1,2,Fitting in,Scene 1,Solitude,"Saturday, August 6, 2016",Saturday–Sunday,2 days,"Jay spends his first weekend off in disciplined solitude — studying client files, batch-cooking, ironing his seven identical shirts. A brief text from his mother underscores how isolated his life has become.",Jay,,,,,,,,,,,,,,
Book 1,2,Fitting in,Scene 2,Performance,"Monday, August 8, 2016",Monday,1 day,"Week two opens with Ian instituting standing ~9 a.m. briefings and assigning the Maven Holdings summary (due end of week, for the following Monday's board meeting). Jay reluctantly joins the team lunch at Cornerstone Cafe and finds the social performance exhausting.","Ian, Jay",,,,,,,,,,,,,,
Book 1,2,Fitting in,Scene 3,Mistake,"Tuesday, August 9, 2016",Tuesday–Thursday,3 days,"Daily lunch invitations quietly absorb Jay into the group; over Thursday's lunch Ela notes Max is due back ""week after next."" Late Thursday Jay finds a transposition error in his portfolio projections, and Ian — instead of scolding — sits down and walks him through the fix.","Ian, Jay, Ela, Max",,,,,,,,,,,,,,
Book 1,2,Fitting in,Scene 4,Avoidance,"Friday, August 12, 2016",Friday,1 day,"Jay submits a strong investment analysis that Ian praises, then declines the Friday Murphy's drinks invitation with an errand excuse. He heads home content, preferring solitude to the bar.","Ian, Jay",,,,,,,,,,,,,,
Book 1,2,Fitting in,Scene 5,Fear,"Friday, August 12, 2016 (evening)",Friday,same day (Ian POV),"That evening Ian and Leo drink scotch in the office while Leo needles Ian about his paranoia and Jay's evident loneliness. Ian refuses to soften, telling himself some lessons are too expensive to learn twice.","Ian, Jay, Leo",,,,,,,,,,,,,,
